system:index,COAST,DIST_MAIN,DIST_SINK,Date,ENDO,HYBAS_ID,MAIN_BAS,NEXT_DOWN,NEXT_SINK,ORDER,PFAF_ID,SORT,SUB_AREA,UP_AREA,containedIn,max,mean,median,min,.geo
20020401_20020430_00000000000000000080,0,110.2,110.2,2002-04-01,0,7040394690,7040014930,7040014930,7040014930,1,7823,30,11295.1,610224.8,true,8.727686882019043,7.394141259556863,7.268984317779541,6.571666240692139,
20020401_20020430_00000000000000000081,0,285.3,285.3,2002-04-01,0,7040395190,7040014930,7040394690,7040014930,1,7825,32,40842.7,571393.9,true,10.042716026306152,8.186489256945624,8.602914810180664,4.889328956604004,
20020401_20020430_00000000000000000082,0,490.0,490.0,2002-04-01,0,7040379310,7040014930,7040395190,7040014930,1,7827,35,50865.5,260938.7,true,10.251301765441895,9.9940229076375,10.10805416107178,7.553943634033203,
20020401_20020430_00000000000000000083,0,793.5,793.5,2002-04-01,0,7040388740,7040014930,7040379310,7040014930,1,7829,37,191669.7,191669.7,true,10.117609024047852,7.446351303281843,7.621009826660156,4.126672267913818,
20020401_20020430_000000000000000000b1,0,110.3,110.3,2002-04-01,0,7040394680,7040014930,7040014930,7040014930,2,7822,31,28949.1,28949.1,true,7.268984317779541,5.054865047758177,5.128925323486328,2.79638934135437,
20020401_20020430_000000000000000000b2,0,285.4,285.4,2002-04-01,0,7040395340,7040014930,7040394690,7040014930,2,7824,33,27728.4,27728.4,true,7.963803768157959,5.545076921906471,5.7414183616638175,3.2479770183563232,
20020401_20020430_000000000000000000b3,0,489.9,489.9,2002-04-01,0,7040379430,7040014930,7040395190,7040014930,2,7826,34,269628.2,269628.2,true,16.842836380004883,11.120469705340561,10.297855753887607,7.661945343017578,
20020401_20020430_000000000000000000b4,0,793.3,793.3,2002-04-01,0,7040388580,7040014930,7040379310,7040014930,2,7828,36,36185.5,36186.1,true,10.299860000610352,9.5936946114183,9.473938941955568,7.621009826660156,
20020401_20020430_0000000000000000007f,0,0.0,0.0,2002-04-01,0,7040014930,7040014930,0,7040014930,1,7821,29,12236.9,651407.2,true,8.048514366149902,7.289212637072383,7.32072162628174,5.922061443328857,
20020501_20020518_00000000000000000080,0,110.2,110.2,2002-05-01,0,7040394690,7040014930,7040014930,7040014930,1,7823,30,11295.1,610224.8,true,5.826013565063477,4.124224488733308,3.8923988342285156,3.1716065406799316,
20020501_20020518_00000000000000000081,0,285.3,285.3,2002-05-01,0,7040395190,7040014930,7040394690,7040014930,1,7825,32,40842.7,571393.9,true,7.276273250579834,5.10306349631179,5.211045742034912,3.317729949951172,
20020501_20020518_00000000000000000082,0,490.0,490.0,2002-05-01,0,7040379310,7040014930,7040395190,7040014930,1,7827,35,50865.5,260938.7,true,8.54509449005127,7.366202765662456,7.597705364227295,4.876554012298584,
20020501_20020518_00000000000000000083,0,793.5,793.5,2002-05-01,0,7040388740,7040014930,7040379310,7040014930,1,7829,37,191669.7,191669.7,true,8.364426612854004,6.1014947254949945,6.124456405639648,3.1293222904205322,
20020501_20020518_000000000000000000b1,0,110.3,110.3,2002-05-01,0,7040394680,7040014930,7040014930,7040014930,2,7822,31,28949.1,28949.1,true,3.8923988342285156,2.2548742764493968,2.2712361812591553,1.126665472984314,
20020501_20020518_000000000000000000b2,0,285.4,285.4,2002-05-01,0,7040395340,7040014930,7040394690,7040014930,2,7824,33,27728.4,27728.4,true,4.573492527008057,3.103550624598105,2.9281880855560303,1.6300474405288696,
20020501_20020518_000000000000000000b3,0,489.9,489.9,2002-05-01,0,7040379430,7040014930,7040395190,7040014930,2,7826,34,269628.2,269628.2,true,15.47443675994873,9.942421853337457,9.761493682861328,5.177541255950928,
20020501_20020518_000000000000000000b4,0,793.3,793.3,2002-05-01,0,7040388580,7040014930,7040379310,7040014930,2,7828,36,36185.5,36186.1,true,7.8861541748046875,7.237721569686358,7.281071662902834,6.124456405639648,
20020501_20020518_0000000000000000007f,0,0.0,0.0,2002-05-01,0,7040014930,7040014930,0,7040014930,1,7821,29,12236.9,651407.2,true,5.177541255950928,4.309791494044204,4.452185630798339,2.42413592338562,
20020801_20020831_00000000000000000080,0,110.2,110.2,2002-08-01,0,7040394690,7040014930,7040014930,7040014930,1,7823,30,11295.1,610224.8,true,-8.422910690307617,-8.724826819205605,-8.698031425476074,-9.164341926574707,
20020801_20020831_00000000000000000081,0,285.3,285.3,2002-08-01,0,7040395190,7040014930,7040394690,7040014930,1,7825,32,40842.7,571393.9,true,-8.119303703308105,-8.903297708022604,-9.047396659851074,-9.347755432128906,
20020801_20020831_00000000000000000082,0,490.0,490.0,2002-08-01,0,7040379310,7040014930,7040395190,7040014930,1,7827,35,50865.5,260938.7,true,-8.349149703979492,-8.964741073084177,-9.066733360290526,-9.347755432128906,
20020801_20020831_00000000000000000083,0,793.5,793.5,2002-08-01,0,7040388740,7040014930,7040379310,7040014930,1,7829,37,191669.7,191669.7,true,-5.6226959228515625,-7.549625944614108,-7.604056835174565,-9.10190486907959,
20020801_20020831_000000000000000000b1,0,110.3,110.3,2002-08-01,0,7040394680,7040014930,7040014930,7040014930,2,7822,31,28949.1,28949.1,true,-7.442394256591797,-8.019951772216526,-8.0543212890625,-8.698031425476074,
20020801_20020831_000000000000000000b2,0,285.4,285.4,2002-08-01,0,7040395340,7040014930,7040394690,7040014930,2,7824,33,27728.4,27728.4,true,-7.693383693695068,-8.27460180828242,-8.281733512878418,-8.909699440002441,
20020801_20020831_000000000000000000b3,0,489.9,489.9,2002-08-01,0,7040379430,7040014930,7040395190,7040014930,2,7826,34,269628.2,269628.2,true,-5.9596171379089355,-7.841458459813741,-7.720149517059326,-9.347755432128906,
20020801_20020831_000000000000000000b4,0,793.3,793.3,2002-08-01,0,7040388580,7040014930,7040379310,7040014930,2,7828,36,36185.5,36186.1,true,-7.650312900543213,-8.306544260004793,-8.329363822937006,-9.078436851501465,
20020801_20020831_0000000000000000007f,0,0.0,0.0,2002-08-01,0,7040014930,7040014930,0,7040014930,1,7821,29,12236.9,651407.2,true,-8.094162940979004,-8.620054438879091,-8.615285873413086,-8.927613258361816,
20020901_20020930_00000000000000000080,0,110.2,110.2,2002-09-01,0,7040394690,7040014930,7040014930,7040014930,1,7823,30,11295.1,610224.8,true,-9.955245018005371,-10.276262668569196,-10.252323150634766,-10.692292213439941,
20020901_20020930_00000000000000000081,0,285.3,285.3,2002-09-01,0,7040395190,7040014930,7040394690,7040014930,1,7825,32,40842.7,571393.9,true,-10.324440956115723,-10.709294334803337,-10.74446392059326,-11.07913875579834,
20020901_20020930_00000000000000000082,0,490.0,490.0,2002-09-01,0,7040379310,7040014930,7040395190,7040014930,1,7827,35,50865.5,260938.7,true,-10.5463228225708,-10.939588580110527,-11.021363258361815,-11.07913875579834,
20020901_20020930_00000000000000000083,0,793.5,793.5,2002-09-01,0,7040388740,7040014930,7040379310,7040014930,1,7829,37,191669.7,191669.7,true,-9.128241539001465,-10.16634379330177,-10.19090461730957,-11.038493156433105,
20020901_20020930_000000000000000000b1,0,110.3,110.3,2002-09-01,0,7040394680,7040014930,7040014930,7040014930,2,7822,31,28949.1,28949.1,true,-9.074258804321289,-9.641482932405212,-9.678317070007324,-10.252323150634766,
20020901_20020930_000000000000000000b2,0,285.4,285.4,2002-09-01,0,7040395340,7040014930,7040394690,7040014930,2,7824,33,27728.4,27728.4,true,-9.524775505065918,-10.163827562452742,-10.204818725585932,-10.567048072814941,
20020901_20020930_000000000000000000b3,0,489.9,489.9,2002-09-01,0,7040379430,7040014930,7040395190,7040014930,2,7826,34,269628.2,269628.2,true,-8.546920776367188,-10.11082271025504,-10.131590843200684,-11.028246879577637,
20020901_20020930_000000000000000000b4,0,793.3,793.3,2002-09-01,0,7040388580,7040014930,7040379310,7040014930,2,7828,36,36185.5,36186.1,true,-10.329081535339355,-10.732061919967153,-10.741317749023436,-11.038493156433105,
20020901_20020930_0000000000000000007f,0,0.0,0.0,2002-09-01,0,7040014930,7040014930,0,7040014930,1,7821,29,12236.9,651407.2,true,-9.619226455688477,-10.199645662372358,-10.215744972229004,-10.46842098236084,
20021001_20021031_00000000000000000080,0,110.2,110.2,2002-10-01,0,7040394690,7040014930,7040014930,7040014930,1,7823,30,11295.1,610224.8,true,-10.17209529876709,-10.703896406446143,-10.700326919555664,-11.334525108337402,
20021001_20021031_00000000000000000081,0,285.3,285.3,2002-10-01,0,7040395190,7040014930,7040394690,7040014930,1,7825,32,40842.7,571393.9,true,-11.207833290100098,-11.728642476558555,-11.735097885131845,-12.366371154785156,
20021001_20021031_00000000000000000082,0,490.0,490.0,2002-10-01,0,7040379310,7040014930,7040395190,7040014930,1,7827,35,50865.5,260938.7,true,-11.727725982666016,-12.332964728294805,-12.366371154785156,-12.590781211853027,
20021001_20021031_00000000000000000083,0,793.5,793.5,2002-10-01,0,7040388740,7040014930,7040379310,7040014930,1,7829,37,191669.7,191669.7,true,-9.852805137634277,-11.838469558216293,-12.075716094950536,-12.590781211853027,
20021001_20021031_000000000000000000b1,0,110.3,110.3,2002-10-01,0,7040394680,7040014930,7040014930,7040014930,2,7822,31,28949.1,28949.1,true,-9.63659954071045,-10.19633911105893,-10.266539573669434,-11.114093780517578,
20021001_20021031_000000000000000000b2,0,285.4,285.4,2002-10-01,0,7040395340,7040014930,7040394690,7040014930,2,7824,33,27728.4,27728.4,true,-10.642847061157227,-11.145987457359924,-11.114093780517582,-11.909555435180664,
20021001_20021031_000000000000000000b3,0,489.9,489.9,2002-10-01,0,7040379430,7040014930,7040395190,7040014930,2,7826,34,269628.2,269628.2,true,-10.025581359863281,-11.2083634777529,-11.334288511137132,-12.50156021118164,
20021001_20021031_000000000000000000b4,0,793.3,793.3,2002-10-01,0,7040388580,7040014930,7040379310,7040014930,2,7828,36,36185.5,36186.1,true,-12.151228904724121,-12.429696582509246,-12.501560211181639,-12.590781211853027,
20021001_20021031_0000000000000000007f,0,0.0,0.0,2002-10-01,0,7040014930,7040014930,0,7040014930,1,7821,29,12236.9,651407.2,true,-9.63659954071045,-10.440201058136276,-10.416813850402834,-10.892590522766113,
20021101_20021130_00000000000000000080,0,110.2,110.2,2002-11-01,0,7040394690,7040014930,7040014930,7040014930,1,7823,30,11295.1,610224.8,true,-9.386420249938965,-9.780175600727828,-9.788482666015625,-10.252111434936523,
20021101_20021130_00000000000000000081,0,285.3,285.3,2002-11-01,0,7040395190,7040014930,7040394690,7040014930,1,7825,32,40842.7,571393.9,true,-10.012819290161133,-10.45538148423517,-10.482529640197754,-11.093523979187012,
20021101_20021130_00000000000000000082,0,490.0,490.0,2002-11-01,0,7040379310,7040014930,7040395190,7040014930,1,7827,35,50865.5,260938.7,true,-10.511459350585938,-11.069101594218239,-11.09352397918701,-11.216422080993652,
20021101_20021130_00000000000000000083,0,793.5,793.5,2002-11-01,0,7040388740,7040014930,7040379310,7040014930,1,7829,37,191669.7,191669.7,true,-7.097785949707031,-9.517150069311013,-9.712576866149902,-11.171850204467773,
