system:index,COAST,DIST_MAIN,DIST_SINK,Date,ENDO,HYBAS_ID,MAIN_BAS,NEXT_DOWN,NEXT_SINK,ORDER,PFAF_ID,SORT,SUB_AREA,UP_AREA,containedIn,max,mean,median,min,.geo
200001_00000000000000000080,0,110.2,110.2,2000-01-01,0,7040394690,7040014930,7040014930,7040014930,1,7823,30,11295.1,610224.8,true,790,173.017708956622,137.12729498164015,0,
200001_00000000000000000081,0,285.3,285.3,2000-01-01,0,7040395190,7040014930,7040394690,7040014930,1,7825,32,40842.7,571393.9,true,239,53.49770818769106,35.0,2,
200001_00000000000000000082,0,490.0,490.0,2000-01-01,0,7040379310,7040014930,7040395190,7040014930,1,7827,35,50865.5,260938.7,true,250,90.50768689089819,84.00000000000001,1,
200001_00000000000000000083,0,793.5,793.5,2000-01-01,0,7040388740,7040014930,7040379310,7040014930,1,7829,37,191669.7,191669.7,true,245,73.52579859327633,59.0,2,
200001_000000000000000000b1,0,110.3,110.3,2000-01-01,0,7040394680,7040014930,7040014930,7040014930,2,7822,31,28949.1,28949.1,true,636,48.07623602239307,0.20315730847774452,0,
200001_000000000000000000b2,0,285.4,285.4,2000-01-01,0,7040395340,7040014930,7040394690,7040014930,2,7824,33,27728.4,27728.4,true,648,118.45707551102387,65.17565713079277,3,
200001_000000000000000000b3,0,489.9,489.9,2000-01-01,0,7040379430,7040014930,7040395190,7040014930,2,7826,34,269628.2,269628.2,true,749,177.1033656897772,133.50894370175106,4,
200001_000000000000000000b4,0,793.3,793.3,2000-01-01,0,7040388580,7040014930,7040379310,7040014930,2,7828,36,36185.5,36186.1,true,227,103.33048662121874,104.99999999999999,2,
200001_0000000000000000007f,0,0.0,0.0,2000-01-01,0,7040014930,7040014930,0,7040014930,1,7821,29,12236.9,651407.2,true,988,135.72294587792808,17.836433836433837,0,
200002_00000000000000000080,0,110.2,110.2,2000-02-01,0,7040394690,7040014930,7040014930,7040014930,1,7823,30,11295.1,610224.8,true,1148,159.3757441690388,27.20265193370166,0,
200002_00000000000000000081,0,285.3,285.3,2000-02-01,0,7040395190,7040014930,7040394690,7040014930,1,7825,32,40842.7,571393.9,true,360,50.59832557042625,4.381541871141364,0,
200002_00000000000000000082,0,490.0,490.0,2000-02-01,0,7040379310,7040014930,7040395190,7040014930,1,7827,35,50865.5,260938.7,true,387,112.68607112250791,102.32428995337008,0,
200002_00000000000000000083,0,793.5,793.5,2000-02-01,0,7040388740,7040014930,7040379310,7040014930,1,7829,37,191669.7,191669.7,true,360,95.70923492700655,82.50497880311545,0,
200002_000000000000000000b1,0,110.3,110.3,2000-02-01,0,7040394680,7040014930,7040014930,7040014930,2,7822,31,28949.1,28949.1,true,911,46.397570555927274,0.09067694321239002,0,
200002_000000000000000000b2,0,285.4,285.4,2000-02-01,0,7040395340,7040014930,7040394690,7040014930,2,7824,33,27728.4,27728.4,true,1045,127.44796285208281,51.30110236220472,0,
200002_000000000000000000b3,0,489.9,489.9,2000-02-01,0,7040379430,7040014930,7040395190,7040014930,2,7826,34,269628.2,269628.2,true,1001,234.28015877540201,189.5033010427593,0,
200002_000000000000000000b4,0,793.3,793.3,2000-02-01,0,7040388580,7040014930,7040379310,7040014930,2,7828,36,36185.5,36186.1,true,319,155.38794923778164,158.56620357244114,0,
200002_0000000000000000007f,0,0.0,0.0,2000-02-01,0,7040014930,7040014930,0,7040014930,1,7821,29,12236.9,651407.2,true,1269,137.28910091540146,0.5701914394076214,0,
200003_00000000000000000080,0,110.2,110.2,2000-03-01,0,7040394690,7040014930,7040014930,7040014930,1,7823,30,11295.1,610224.8,true,1349,120.48159900394664,0.8776352837002916,0,
200003_00000000000000000081,0,285.3,285.3,2000-03-01,0,7040395190,7040014930,7040394690,7040014930,1,7825,32,40842.7,571393.9,true,451,46.32150563898691,0.04297693085627374,0,
200003_00000000000000000082,0,490.0,490.0,2000-03-01,0,7040379310,7040014930,7040395190,7040014930,1,7827,35,50865.5,260938.7,true,428,79.76957131184024,12.492354740061161,0,
200003_00000000000000000083,0,793.5,793.5,2000-03-01,0,7040388740,7040014930,7040379310,7040014930,1,7829,37,191669.7,191669.7,true,451,87.55111472012501,42.26190476190476,0,
200003_000000000000000000b1,0,110.3,110.3,2000-03-01,0,7040394680,7040014930,7040014930,7040014930,2,7822,31,28949.1,28949.1,true,1067,44.85698194403661,0.2718579592548968,0,
200003_000000000000000000b2,0,285.4,285.4,2000-03-01,0,7040395340,7040014930,7040394690,7040014930,2,7824,33,27728.4,27728.4,true,1222,108.7938144069446,19.231466849879773,0,
200003_000000000000000000b3,0,489.9,489.9,2000-03-01,0,7040379430,7040014930,7040395190,7040014930,2,7826,34,269628.2,269628.2,true,1184,225.67264333930407,139.7069813996163,0,
200003_000000000000000000b4,0,793.3,793.3,2000-03-01,0,7040388580,7040014930,7040379310,7040014930,2,7828,36,36185.5,36186.1,true,373,165.2716418081886,164.42857142857142,0,
200003_0000000000000000007f,0,0.0,0.0,2000-03-01,0,7040014930,7040014930,0,7040014930,1,7821,29,12236.9,651407.2,true,1515,130.0808484747919,0.4786980137176387,0,
200004_00000000000000000080,0,110.2,110.2,2000-04-01,0,7040394690,7040014930,7040014930,7040014930,1,7823,30,11295.1,610224.8,true,1453,17.458559228300473,0.4644665859297588,0,
200004_00000000000000000081,0,285.3,285.3,2000-04-01,0,7040395190,7040014930,7040394690,7040014930,1,7825,32,40842.7,571393.9,true,401,1.9775468090661763,0.05465868932490799,0,
200004_00000000000000000082,0,490.0,490.0,2000-04-01,0,7040379310,7040014930,7040395190,7040014930,1,7827,35,50865.5,260938.7,true,441,10.249052342073627,0.11546256023515325,0,
200004_00000000000000000083,0,793.5,793.5,2000-04-01,0,7040388740,7040014930,7040379310,7040014930,1,7829,37,191669.7,191669.7,true,412,19.39612312246334,0.047549614059402064,0,
200004_000000000000000000b1,0,110.3,110.3,2000-04-01,0,7040394680,7040014930,7040014930,7040014930,2,7822,31,28949.1,28949.1,true,1084,4.783345287205825,0.3533325380147012,0,
200004_000000000000000000b2,0,285.4,285.4,2000-04-01,0,7040395340,7040014930,7040394690,7040014930,2,7824,33,27728.4,27728.4,true,1144,11.487765996417586,0.654720450497041,0,
200004_000000000000000000b3,0,489.9,489.9,2000-04-01,0,7040379430,7040014930,7040395190,7040014930,2,7826,34,269628.2,269628.2,true,1250,135.63856128714224,0.9597126261700443,0,
200004_000000000000000000b4,0,793.3,793.3,2000-04-01,0,7040388580,7040014930,7040379310,7040014930,2,7828,36,36185.5,36186.1,true,366,73.5328041933007,36.46153846153846,0,
200004_0000000000000000007f,0,0.0,0.0,2000-04-01,0,7040014930,7040014930,0,7040014930,1,7821,29,12236.9,651407.2,true,1632,19.627345888990295,0.4484208965027705,0,
200005_00000000000000000080,0,110.2,110.2,2000-05-01,0,7040394690,7040014930,7040014930,7040014930,1,7823,30,11295.1,610224.8,true,1513,3.0091989870235043,0.0,0,
200005_00000000000000000081,0,285.3,285.3,2000-05-01,0,7040395190,7040014930,7040394690,7040014930,1,7825,32,40842.7,571393.9,true,115,0.05000547474458209,0.0,0,
200005_00000000000000000082,0,490.0,490.0,2000-05-01,0,7040379310,7040014930,7040395190,7040014930,1,7827,35,50865.5,260938.7,true,262,0.8900384643490625,0.02249130455579777,0,
200005_00000000000000000083,0,793.5,793.5,2000-05-01,0,7040388740,7040014930,7040379310,7040014930,1,7829,37,191669.7,191669.7,true,254,1.1601120509722065,0.0,0,
200005_000000000000000000b1,0,110.3,110.3,2000-05-01,0,7040394680,7040014930,7040014930,7040014930,2,7822,31,28949.1,28949.1,true,1091,0.8784676258646499,0.06465008174776299,0,
200005_000000000000000000b2,0,285.4,285.4,2000-05-01,0,7040395340,7040014930,7040394690,7040014930,2,7824,33,27728.4,27728.4,true,1091,2.1480838657682852,0.059041745341105005,0,
200005_000000000000000000b3,0,489.9,489.9,2000-05-01,0,7040379430,7040014930,7040395190,7040014930,2,7826,34,269628.2,269628.2,true,1182,42.78377007267623,0.45663246479592545,0,
200005_000000000000000000b4,0,793.3,793.3,2000-05-01,0,7040388580,7040014930,7040379310,7040014930,2,7828,36,36185.5,36186.1,true,230,5.666890651412731,0.0,0,
200005_0000000000000000007f,0,0.0,0.0,2000-05-01,0,7040014930,7040014930,0,7040014930,1,7821,29,12236.9,651407.2,true,1801,3.919632733206118,0.07818440798106797,0,
200006_00000000000000000080,0,110.2,110.2,2000-06-01,0,7040394690,7040014930,7040014930,7040014930,1,7823,30,11295.1,610224.8,true,53,0.08016173777447368,0.0,0,
200006_00000000000000000081,0,285.3,285.3,2000-06-01,0,7040395190,7040014930,7040394690,7040014930,1,7825,32,40842.7,571393.9,true,1,9.770313408070612E-5,0.0,0,
200006_00000000000000000082,0,490.0,490.0,2000-06-01,0,7040379310,7040014930,7040395190,7040014930,1,7827,35,50865.5,260938.7,true,4,0.008234958047950897,0.0,0,
200006_00000000000000000083,0,793.5,793.5,2000-06-01,0,7040388740,7040014930,7040379310,7040014930,1,7829,37,191669.7,191669.7,true,169,0.045952329347913205,0.0,0,
200006_000000000000000000b1,0,110.3,110.3,2000-06-01,0,7040394680,7040014930,7040014930,7040014930,2,7822,31,28949.1,28949.1,true,474,0.13276500291225218,0.0,0,
200006_000000000000000000b2,0,285.4,285.4,2000-06-01,0,7040395340,7040014930,7040394690,7040014930,2,7824,33,27728.4,27728.4,true,474,0.24394236817971673,0.0,0,
200006_000000000000000000b3,0,489.9,489.9,2000-06-01,0,7040379430,7040014930,7040395190,7040014930,2,7826,34,269628.2,269628.2,true,648,1.0057519196618692,0.05494917564446989,0,
200006_000000000000000000b4,0,793.3,793.3,2000-06-01,0,7040388580,7040014930,7040379310,7040014930,2,7828,36,36185.5,36186.1,true,4,0.007827979715022483,0.0,0,
200006_0000000000000000007f,0,0.0,0.0,2000-06-01,0,7040014930,7040014930,0,7040014930,1,7821,29,12236.9,651407.2,true,281,0.12663513924610748,0.0,0,
200007_00000000000000000080,0,110.2,110.2,2000-07-01,0,7040394690,7040014930,7040014930,7040014930,1,7823,30,11295.1,610224.8,true,0,0.0,0.0,0,
200007_00000000000000000081,0,285.3,285.3,2000-07-01,0,7040395190,7040014930,7040394690,7040014930,1,7825,32,40842.7,571393.9,true,0,0.0,0.0,0,
200007_00000000000000000082,0,490.0,490.0,2000-07-01,0,7040379310,7040014930,7040395190,7040014930,1,7827,35,50865.5,260938.7,true,0,0.0,0.0,0,
200007_00000000000000000083,0,793.5,793.5,2000-07-01,0,7040388740,7040014930,7040379310,7040014930,1,7829,37,191669.7,191669.7,true,0,0.0,0.0,0,
200007_000000000000000000b1,0,110.3,110.3,2000-07-01,0,7040394680,7040014930,7040014930,7040014930,2,7822,31,28949.1,28949.1,true,8,0.0019062014123219556,0.0,0,
200007_000000000000000000b2,0,285.4,285.4,2000-07-01,0,7040395340,7040014930,7040394690,7040014930,2,7824,33,27728.4,27728.4,true,8,0.003152924413184682,0.0,0,
200007_000000000000000000b3,0,489.9,489.9,2000-07-01,0,7040379430,7040014930,7040395190,7040014930,2,7826,34,269628.2,269628.2,true,8,5.439580891190657E-4,0.0,0,
200007_000000000000000000b4,0,793.3,793.3,2000-07-01,0,7040388580,7040014930,7040379310,7040014930,2,7828,36,36185.5,36186.1,true,0,0.0,0.0,0,
200007_0000000000000000007f,0,0.0,0.0,2000-07-01,0,7040014930,7040014930,0,7040014930,1,7821,29,12236.9,651407.2,true,4,0.0012389723167122986,0.0,0,
200008_00000000000000000080,0,110.2,110.2,2000-08-01,0,7040394690,7040014930,7040014930,7040014930,1,7823,30,11295.1,610224.8,true,0,0.0,0.0,0,
200008_00000000000000000081,0,285.3,285.3,2000-08-01,0,7040395190,7040014930,7040394690,7040014930,1,7825,32,40842.7,571393.9,true,0,0.0,0.0,0,
200008_00000000000000000082,0,490.0,490.0,2000-08-01,0,7040379310,7040014930,7040395190,7040014930,1,7827,35,50865.5,260938.7,true,0,0.0,0.0,0,
200008_00000000000000000083,0,793.5,793.5,2000-08-01,0,7040388740,7040014930,7040379310,7040014930,1,7829,37,191669.7,191669.7,true,0,0.0,0.0,0,
200008_000000000000000000b1,0,110.3,110.3,2000-08-01,0,7040394680,7040014930,7040014930,7040014930,2,7822,31,28949.1,28949.1,true,0,0.0,0.0,0,
200008_000000000000000000b2,0,285.4,285.4,2000-08-01,0,7040395340,7040014930,7040394690,7040014930,2,7824,33,27728.4,27728.4,true,0,0.0,0.0,0,
200008_000000000000000000b3,0,489.9,489.9,2000-08-01,0,7040379430,7040014930,7040395190,7040014930,2,7826,34,269628.2,269628.2,true,0,0.0,0.0,0,
200008_000000000000000000b4,0,793.3,793.3,2000-08-01,0,7040388580,7040014930,7040379310,7040014930,2,7828,36,36185.5,36186.1,true,0,0.0,0.0,0,
200008_0000000000000000007f,0,0.0,0.0,2000-08-01,0,7040014930,7040014930,0,7040014930,1,7821,29,12236.9,651407.2,true,0,0.0,0.0,0,
200009_00000000000000000080,0,110.2,110.2,2000-09-01,0,7040394690,7040014930,7040014930,7040014930,1,7823,30,11295.1,610224.8,true,0,0.0,0.0,0,
200009_00000000000000000081,0,285.3,285.3,2000-09-01,0,7040395190,7040014930,7040394690,7040014930,1,7825,32,40842.7,571393.9,true,0,0.0,0.0,0,
